bedrooms,built,createDate,energyColor,energyLabel,finnkode,isSold,lastUpdated,latitude,longitude,ownership,postNumber,primaryRoom,propertyType,rooms,totalPrice,usableArea
1,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,55,Leilighet,2,4194000,60
3,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,92,Leilighet,4,6544000,93
3,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,92,Leilighet,4,6744000,93
2,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,78,Leilighet,3,5344000,81
2,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,69,Leilighet,3,5594000,78
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,8547746,102
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,9247746,102
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9647544,101
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5377193,51
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,9547746,102
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5277193,51
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5024573,44
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,10547544,101
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5074573,44
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5151160,51
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,4951256,44
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,8897746,102
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,10047746,102
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5451160,51
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5577193,51
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,9397746,102
3,,2022-03-18T15:16:52.474+01:00,,,251759566,False,2023-11-08T08:32:19.163+01:00,68.5887,16.571032,Eier (Selveier),9440,114,Rekkehus,,4766707,121
3,,2022-03-18T15:16:52.474+01:00,,,251759566,False,2023-11-08T08:32:19.163+01:00,68.5887,16.571032,Eier (Selveier),9440,114,Rekkehus,,4641707,121
1,,2022-10-06T12:27:34.663+02:00,,,275902066,False,2023-04-25T14:37:42.623+02:00,69.7930165540825,20.9373216336329,Eier (Selveier),9152,48,Leilighet,,2753375,48
2,,2022-10-06T12:27:34.663+02:00,,,275902066,False,2023-04-25T14:37:42.623+02:00,69.7930165540825,20.9373216336329,Eier (Selveier),9152,73,Leilighet,,3953375,73
1,,2022-10-06T12:27:34.663+02:00,,,275902066,True,2023-04-25T14:37:42.623+02:00,69.7930165540825,20.9373216336329,Eier (Selveier),9152,48,Leilighet,,2778875,48
2,,2022-10-06T12:27:34.663+02:00,,,275902066,False,2023-04-25T14:37:42.623+02:00,69.7930165540825,20.9373216336329,Eier (Selveier),9152,73,Leilighet,,3978875,73
3,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,0,Leilighet,4,9819000,141
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,55,Leilighet,2,3794000,60
1,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,46,Leilighet,2,3444000,49
0,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,32,Leilighet,1,2234000,32
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9397544,101
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9297544,101
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5077193,51
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5927193,51
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5474573,44
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5374573,44
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5174573,44
0,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,33,Leilighet,1,3851160,33
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5251160,51
